,Parameter Name,Latitude,Longitude,LU,Arithmetic Mean
446,PM2.5 - Local Conditions,33.995638,-117.49330400000001,"{'Commercial and Services': 0.12, 'Residential': 0.75, 'Cropland and pasture': 0.13}",0.014141379
447,PM2.5 - Local Conditions,33.995638,-117.49330400000001,"{'Commercial and Services': 0.12, 'Residential': 0.75, 'Cropland and pasture': 0.13}",0.013563158
67,PM2.5 - Local Conditions,38.745726,-121.26631200000001,"{'Commercial and Services': 0.65, 'Transportation, communications and services': 0.35}",0.006872414
71,PM2.5 - Local Conditions,38.745726,-121.26631200000001,"{'Commercial and Services': 0.65, 'Transportation, communications and services': 0.35}",0.007746667
117,PM2.5 - Local Conditions,38.613779,-121.36801399999999,{'Residential': 1.0},0.008673410000000001
121,PM2.5 - Local Conditions,38.613779,-121.36801399999999,{'Residential': 1.0},0.00828
204,PM2.5 - Local Conditions,38.558228,-121.492981,{'Residential': 1.0},0.0076163789999999995
256,PM2.5 - Local Conditions,38.593322,-121.503795,"{'Mixed urban or built-up land': 0.485, 'Cropland and pasture': 0.015, 'Transportation, communications and services': 0.5}",0.01456
273,PM2.5 - Local Conditions,38.556326,-121.458499,{'Residential': 1.0},0.006930392
288,PM2.5 - Local Conditions,38.66121,-121.73268999999999,{'Cropland and pasture': 1.0},0.006316667
119,PM2.5 - Local Conditions,37.348496999999995,-121.894898,"{'Residential': 0.76, 'Industrial': 0.1, 'Mixed urban or built-up land': 0.14}",0.008045263
19,PM2.5 - Local Conditions,34.030833,-117.61721999999999,"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}",0.014816092000000001
20,PM2.5 - Local Conditions,34.030833,-117.61721999999999,"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}",0.014816092000000001
21,PM2.5 - Local Conditions,34.030833,-117.61721999999999,"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}",0.014716138000000002
52,PM2.5 - Local Conditions,34.10002,-117.49201000000001,"{'Commercial and Services': 0.02912621359223301, 'Residential': 0.7572815533980582, 'Other urban or built-up land': 0.21359223300970873}",0.012213158
53,PM2.5 - Local Conditions,34.10002,-117.49201000000001,"{'Commercial and Services': 0.02912621359223301, 'Residential': 0.7572815533980582, 'Other urban or built-up land': 0.21359223300970873}",0.011592000000000002
54,PM2.5 - Local Conditions,34.10002,-117.49201000000001,"{'Commercial and Services': 0.02912621359223301, 'Residential': 0.7572815533980582, 'Other urban or built-up land': 0.21359223300970873}",0.012213158
58,PM2.5 - Local Conditions,34.10002,-117.49201000000001,"{'Commercial and Services': 0.02912621359223301, 'Residential': 0.7572815533980582, 'Other urban or built-up land': 0.21359223300970873}",0.012741667
72,PM2.5 - Local Conditions,34.264444,-116.86444399999999,"{'Residential': 0.3067484662576687, 'Reservoirs': 0.05521472392638037, 'Transportation, communications and services': 0.024539877300613498, 'Evergreen forest land': 0.6134969325153374}",0.006803636
139,PM2.5 - Local Conditions,34.10688,-117.27411000000001,"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Other urban or built-up land': 0.34, 'Cropland and pasture': 0.02}",0.011168421000000001
140,PM2.5 - Local Conditions,34.10688,-117.27411000000001,"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Other urban or built-up land': 0.34, 'Cropland and pasture': 0.02}",0.011168421000000001
