Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - Local Conditions,[  33.944713 -116.830074],0.006168421,0.0,0.54,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.41,0,0,0,0.05,0,0.0
PM2.5 - Local Conditions,[  33.70853 -116.21537],0.012981667,0.0,0.0,0.0,0.0,0,0,0,0.14,0.0,0.08,0.0,0,0,0.32,0,0,0,0.16,0,0.0
PM2.5 - Local Conditions,[  33.85275 -116.54101],0.012542559,0.0,0.0,0.0,0.0,0,0,0,0.0,0.00510204081633,0.0,0.0,0,0,0.0,0,0,0,0.418367346939,0,0.0
PM2.5 - Local Conditions,[  33.995638 -117.493304],0.011571901,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0.0,0,0,0.13,0,0,0,0.75,0,0.0
PM2.5 - Local Conditions,[  38.613779 -121.368014],0.010332143,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - Local Conditions,[  38.558228 -121.492981],0.011255172,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - Local Conditions,[  38.593322 -121.503795],0.008045263,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0,0,0.015,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  38.556326 -121.458499],0.008645161,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - Local Conditions,[  38.66121 -121.73269],0.006930392,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  37.348497 -121.894898],0.007616379,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.76,0,0.1
PM2.5 - Local Conditions,[  34.030833 -117.61722 ],0.01456,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0826446280992,0,0,0.190082644628,0,0,0,0.0,0,0.0165289256198
PM2.5 - Local Conditions,[  34.10002 -117.49201],0.008476705,0.0,0.0,0.0,0.0,0,0,0,0.0,0.21359223301,0.0291262135922,0.0,0,0,0.0,0,0,0,0.757281553398,0,0.0
PM2.5 - Local Conditions,[  34.264444 -116.864444],0.006316667,0.613496932515,0.0,0.0552147239264,0.0,0,0,0,0.0,0.0,0.0,0.0245398773006,0,0,0.0,0,0,0,0.306748466258,0,0.0
PM2.5 - Local Conditions,[  34.10688 -117.27411],0.0073095405,0.0,0.0,0.0,0.0,0,0,0,0.0,0.34,0.34,0.0,0,0,0.02,0,0,0,0.3,0,0.0
PM2.5 - Local Conditions,[  32.631231 -117.059075],0.002985246,0.0,0.0,0.0,0.0,0,0,0,0.00409836065574,0.0,0.180327868852,0.409836065574,0,0,0.0,0,0,0,0.405737704918,0,0.0
PM2.5 - Local Conditions,[  32.701492 -117.149653],0.008118519,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0891089108911,0.049504950495,0,0,0.0,0,0,0,0.128712871287,0,0.732673267327
PM2.5 - Local Conditions,[  32.845467 -117.123894],0.006281667,0.0,0.14,0.0,0.0,0,0,0,0.0,0.0,0.0,0.16,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  32.817978 -116.968133],0.007600915,0.0,0.0,0.0,0.0,0,0,0,0.0,0.22,0.09,0.17,0,0,0.0,0,0,0,0.0,0,0.52
PM2.5 - Local Conditions,[  32.789561 -116.944222],0.0130603705,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0825688073394,0.0,0,0,0.0,0,0,0,0.917431192661,0,0.0
PM2.5 - Local Conditions,[  40.549985 -122.382011],0.008726705,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.62,0.0,0,0,0.0,0,0,0,0.38,0,0.0
PM2.5 - Local Conditions,[  41.726892 -122.633579],0.00505,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.25,0.2,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  37.641583 -120.994622],0.003461538,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.78,0.0,0,0,0.0,0,0,0,0.19,0,0.03
PM2.5 - Local Conditions,[  39.138773 -121.618549],0.006054237,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.28,0.0,0,0,0.0,0,0,0,0.47,0,0.25
PM2.5 - Local Conditions,[  36.332179 -119.291228],0.004936207,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.92,0.0,0,0,0.0,0,0,0,0.08,0,0.0
PM2.5 - combined,[  35.356092 -119.041209],0.018841385,0.0,0.0,0.0,0.0,0,0,0,0.0,0.18,0.16,0.06,0,0,0.0,0,0,0,0.6,0,0.0
PM2.5 - combined,[  39.761538 -121.84162 ],0.029826489,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.384615384615,0.0,0,0,0.0,0,0,0,0.615384615385,0,0.0
PM2.5 - combined,[  41.560952 -124.083964],0.030753264,0.900900900901,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0990990990991,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.976    -120.103506],0.007040786,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.9248 -119.97  ],4.804e-06,0.99,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.01,0,0.0
PM2.5 - combined,[  36.785322 -119.774174],1.3467e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.193548387097,0.0,0,0,0.0,0,0,0,0.806451612903,0,0.0
PM2.5 - combined,[  37.22064  -119.155557],2.741e-06,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  32.676186 -115.484144],2.35e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.0,0,0,0.22,0,0,0,0.28,0,0.0
PM2.5 - combined,[  37.360684 -118.330783],0.114685842,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.77453 -122.6995 ],5.1379e-05,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
