Parameter Name,Site_keys_x,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,Average Ambient Pressure,Average Ambient Temperature,Outdoor Temperature,Solar radiation,Wind Speed - Resultant
PM2.5 - Local Conditions,[  38.745726 -121.266312],0.01574827,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0.17,0,0,0.54,0,0,0,0.16,0,0.01,754.051724,18.946552,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  39.937099 -120.938821],0.014849573000000001,0.21,0.0,0.0,0.0,0,0,0,0.0,0.0,0.34,0.0,0,0,0.15,0,0,0,0.3,0,0.0,672.971591,11.347727,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  39.81336 -120.47069],0.014583193000000001,0.520833333333,0.0,0.0,0.0,0,0,0,0.0,0.020833333333299998,0.08333333333330001,0.0,0,0,0.0,0,0,0,0.375,0,0.0,635.0,9.533333,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.99958 -117.41601],0.01470678,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0,735.756983,19.359497,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.447867 -117.088649],0.004973684,0.0,0.68,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.21,0,0,0,0.0,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.944713 -116.830074],0.0061684209999999995,0.0,0.54,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.41,0,0,0,0.05,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.70853 -116.21537],0.012981666999999999,0.0,0.0,0.0,0.0,0,0,0,0.14,0.0,0.08,0.0,0,0,0.32,0,0,0,0.16,0,0.0,761.530435,25.703478,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.85275 -116.54101],0.012542558999999998,0.0,0.0,0.0,0.0,0,0,0,0.0,0.00510204081633,0.0,0.0,0,0,0.0,0,0,0,0.41836734693899996,0,0.0,744.589286,25.34375,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.995638 -117.493304],0.011571901,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0.0,0,0,0.13,0,0,0,0.75,0,0.0,739.94302,19.341595,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  38.613779 -121.368014],0.010332143,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0,758.393064,17.014162,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  38.558228 -121.492981],0.011255171999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0,758.931034,17.440517,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  38.593322 -121.503795],0.008045263,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0,0,0.015,0,0,0,0.0,0,0.0,764.5,8.43,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  38.556326 -121.458499],0.008645161,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0,758.715686,18.9,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  38.66121 -121.73269],0.006930392,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0.0,758.75,17.356667,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  37.348497 -121.894898],0.007616379,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.76,0,0.1,760.042105,17.053684,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  34.030833 -117.61722 ],0.01456,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0826446280992,0,0,0.190082644628,0,0,0,0.0,0,0.0165289256198,737.1178160000002,19.869253,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  34.10002 -117.49201],0.008476705,0.0,0.0,0.0,0.0,0,0,0,0.0,0.21359223301,0.0291262135922,0.0,0,0,0.0,0,0,0,0.757281553398,0,0.0,730.631579,19.111842000000006,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  34.264444 -116.864444],0.006316667,0.613496932515,0.0,0.0552147239264,0.0,0,0,0,0.0,0.0,0.0,0.0245398773006,0,0,0.0,0,0,0,0.306748466258,0,0.0,597.981818,9.82,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  34.10688 -117.27411],0.0073095405,0.0,0.0,0.0,0.0,0,0,0,0.0,0.34,0.34,0.0,0,0,0.02,0,0,0,0.3,0,0.0,736.184211,19.703509,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  32.631231 -117.059075],0.0029852459999999996,0.0,0.0,0.0,0.0,0,0,0,0.004098360655739999,0.0,0.180327868852,0.40983606557400004,0,0,0.0,0,0,0,0.40573770491800004,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  32.701492 -117.149653],0.008118519,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0891089108911,0.049504950495,0,0,0.0,0,0,0,0.12871287128699999,0,0.732673267327,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  32.845467 -117.123894],0.0062816669999999995,0.0,0.14,0.0,0.0,0,0,0,0.0,0.0,0.0,0.16,0,0,0.0,0,0,0,0.0,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  32.817978 -116.968133],0.007600915,0.0,0.0,0.0,0.0,0,0,0,0.0,0.22,0.09,0.17,0,0,0.0,0,0,0,0.0,0,0.52,749.090909,30.294545,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  32.789561 -116.944222],0.0130603705,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0825688073394,0.0,0,0,0.0,0,0,0,0.917431192661,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  40.549985 -122.382011],0.008726705,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.62,0.0,0,0,0.0,0,0,0,0.38,0,0.0,747.964286,17.494643,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  41.726892 -122.633579],0.00505,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.25,0.2,0,0,0.0,0,0,0,0.0,0,0.0,692.1034480000002,11.863793,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  37.641583 -120.994622],0.0034615379999999997,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.78,0.0,0,0,0.0,0,0,0,0.19,0,0.03,757.451613,17.490323,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  39.138773 -121.618549],0.006054237,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.28,0.0,0,0,0.0,0,0,0,0.47,0,0.25,756.831909,17.394302,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  36.332179 -119.291228],0.004936207,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.92,0.0,0,0,0.0,0,0,0,0.08,0,0.0,750.220339,18.811017,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  35.356092 -119.041209],0.018841385,0.0,0.0,0.0,0.0,0,0,0,0.0,0.18,0.16,0.06,0,0,0.0,0,0,0,0.6,0,0.0,750.993884,21.718349,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  39.761538 -121.84162 ],0.029826488999999998,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.38461538461499994,0.0,0,0,0.0,0,0,0,0.615384615385,0,0.0,754.128049,17.855183,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  41.560952 -124.083964],0.030753264,0.9009009009010001,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0990990990991,0.0,0,0,0.0,0,0,0,0.0,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  38.976    -120.103506],0.007040785999999999,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  38.9248 -119.97  ],4.804e-06,0.99,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.01,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  36.785322 -119.774174],1.3467e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.193548387097,0.0,0,0,0.0,0,0,0,0.8064516129029999,0,0.0,752.087324,19.163099,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  37.22064  -119.155557],2.741e-06,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  32.676186 -115.484144],2.35e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.0,0,0,0.22,0,0,0,0.28,0,0.0,758.188791,26.446313,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  37.360684 -118.330783],0.114685842,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  38.77453 -122.6995 ],5.1379e-05,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  38.84846 -122.75797],2.8301999999999998e-05,0.8928571428569999,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  33.901389 -118.205   ],7.603e-06,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.62,0.0,0,0,0.0,0,0,0,0.38,0,0.0,761.2608700000002,20.176522,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  33.955    -118.056389],0.029035166,0.0,0.0,0.0,0.0,0,0,0,0.0,0.21,0.77,0.0,0,0,0.0,0,0,0,0.0,0,0.02,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  33.79236 -118.17533],0.005522651,0.0,0.0,0.0,0.0,0,0,0,0.0,0.12,0.35,0.0,0,0,0.0,0,0,0,0.53,0,0.0,760.751429,18.172286,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  33.9508  -118.43043],2.7063e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.6,0,0,0.0,0,0,0,0.19,0,0.21,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  34.06659 -118.22688],5.1360000000000005e-06,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0310880829016,0.518134715026,0,0,0.0,0,0,0,0.0,0,0.450777202073,752.695775,20.207887,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  34.006389 -118.193056],7.055e-06,0.0,0.0,0.0,0.0,0,0,0,0.0,0.16,0.0,0.12,0,0,0.0,0,0,0,0.0,0,0.72,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - combined,[  34.008333 -118.190556],0.005939008000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.37,0,0,0.0,0,0,0,0.0,0,0.63,742.5895135555559,18.499477696202533,50.37607266071428,0.07622203571428572,3.0030035357142855
