Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,not_assigned
Suspended particulate (TSP),[ 34.788423 -86.616105],52.525424,0.0,0.0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0.0,0,0,0.51,0,0,0,0.47,0,0.0,0.0
Suspended particulate (TSP),[ 34.728831 -86.585003],54.4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.79,0.0,0,0,0.0,0,0,0,0.21,0,0.0,0.0
Suspended particulate (TSP),[ 34.620369 -86.566381],43.032787,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.12,0.0,0.0,0,0,0.31,0,0,0,0.33,0,0.0,0.0
Suspended particulate (TSP),[ 34.645925 -86.771667],56.050847,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.492385786802,0,0,0.507614213198,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.778423 -86.582493],48.59322,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.52,0,0,0,0.48,0,0.0,0.0
Suspended particulate (TSP),[ 34.704258 -86.606937],61.930041,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.18,0.11,0.0,0,0,0.0,0,0,0,0.42,0,0.29,0.0
Suspended particulate (TSP),[ 34.687761 -86.586362],41.793103,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.25,0.0,0.62,0,0,0.13,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.757313 -86.633883],59.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.027027027027,0.225225225225,0.0,0,0,0.0,0,0,0,0.747747747748,0,0.0,0.0
Suspended particulate (TSP),[ 32.503747 -87.834735],38.642857,0.07,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.24,0.0,0,0,0.61,0,0,0,0.08,0,0.0,0.0
Suspended particulate (TSP),[ 34.336759 -86.311926],38.777778,0.12,0.0,0.45,0.0,0.0,0,0,0.0,0.0,0.23,0.0,0,0,0.0,0,0,0,0.2,0,0.0,0.0
Suspended particulate (TSP),[ 30.76652  -88.075727],57.963636,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0740740740741,0.333333333333,0.0,0,0,0.0,0,0,0,0.592592592593,0,0.0,0.0
Suspended particulate (TSP),[ 30.720245 -88.058948],51.233333,0.58,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.07,0,0,0.0,0,0,0,0.0,0,0.35,0.0
Suspended particulate (TSP),[ 30.635858 -88.061575],52.464286,0.0,0.0,0.0,0.0,0.0,0,0,0.18,0.16,0.15,0.46,0,0,0.0,0,0,0,0.0,0,0.05,0.0
Suspended particulate (TSP),[ 30.699406 -88.047234],63.204545,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.339622641509,0.0566037735849,0,0,0.0,0,0,0,0.490566037736,0,0.11320754717,0.0
Suspended particulate (TSP),[ 30.541055 -88.123642],57.909091,0.770642201835,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.229357798165,0.0
Suspended particulate (TSP),[ 30.705746 -88.065277],50.491803,0.52,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.48,0,0.0,0.0
Suspended particulate (TSP),[ 32.42597  -86.285247],36.055556,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.04,0.0,0,0,0.0,0,0,0,0.47,0,0.49,0.0
Suspended particulate (TSP),[ 32.396249 -86.295247],47.206897,0.32,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.15,0.0,0,0,0.0,0,0,0,0.53,0,0.0,0.0
Suspended particulate (TSP),[ 32.369027 -86.304413],51.071429,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.17,0.08,0,0,0.0,0,0,0,0.75,0,0.0,0.0
Suspended particulate (TSP),[ 34.619814 -86.997509],41.0,0.0,0.0,0.22,0.0,0.0,0,0,0.0,0.2,0.17,0.0,0,0,0.0,0,0,0,0.36,0,0.05,0.0
Suspended particulate (TSP),[ 34.605925 -86.981952],51.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.865384615385,0.0,0,0,0.0,0,0,0,0.125,0,0.00961538461538,0.0
