Unnamed: 0,Parameter Name,Site_keys_x,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,not_assigned,Dew Point,Outdoor Temperature,Solar radiation,Sulfation rate,Wind Speed - Resultant
52,Suspended particulate (TSP),[ 34.793422 -87.8492  ],0.041068966,0.0909090909091,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.909090909091,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
53,Suspended particulate (TSP),[ 34.808143 -87.62975 ],0.060070175,0.0,0.0,0.26,0.0,0.0,0,0,0.0,0.64,0.0,0.1,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
54,Suspended particulate (TSP),[ 34.479262 -87.291687],0.039637931,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.163120567376,0.0,0.0,0,0.531914893617,0,0,0,0.280141843972,0,0.0248226950355,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
55,Suspended particulate (TSP),[ 32.643467 -85.403003],0.055393443000000014,0.43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.21,0.0,0.0,0,0.0,0,0,0,0.36,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
56,Suspended particulate (TSP),[ 34.828977 -86.975285],0.050172414000000005,0.21875,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.78125,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
57,Suspended particulate (TSP),[ 34.803421 -86.965007],0.06226,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.13,0.145,0.0,0.0,0,0.5,0,0,0,0.225,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
58,Suspended particulate (TSP),[ 34.685923 -87.070845],0.072145455,0.24,0.0,0.76,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
59,Suspended particulate (TSP),[ 34.788423 -86.616105],0.052525424,0.0,0.0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0.0,0.0,0,0.51,0,0,0,0.47,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
60,Suspended particulate (TSP),[ 34.728831 -86.585003],0.0544,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.79,0.0,0.0,0,0.0,0,0,0,0.21,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
61,Suspended particulate (TSP),[ 34.620369 -86.566381],0.043032787,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.12,0.08,0.0,0.0,0,0.31,0,0,0,0.41,0,0.08,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
