Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - combined,[  36.48324 -121.15688],0.00409133,0.23076923076923078,0.7692307692307693,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  34.10374 -117.62914],0.002242459,0.0,0.0,0.0,0.0,0,0,0,0.0,0.24770642201834864,0.08256880733944955,0.0,0,0,0.0,0,0,0,0.6697247706422018,0,0.0
PM2.5 - combined,[  34.093979 -117.527254],0.007088574999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.09,0,0.81
PM2.5 - combined,[  34.06957 -116.38893],0.003392568,0.1724137931034483,0.0,0.0,0.0,0,0,0,0.0,0.13793103448275862,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  34.10688 -117.27411],0.029679504999999995,0.0,0.0,0.0,0.0,0,0,0,0.0,0.34,0.34,0.0,0,0,0.02,0,0,0,0.3,0,0.0
PM2.5 - combined,[  34.193925 -116.914063],0.001160076,0.04,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  32.817978 -116.968133],0.0008537250000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.22,0.09,0.17,0,0,0.0,0,0,0,0.0,0,0.52
PM2.5 - combined,[  32.789561 -116.944222],0.004799378,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.08256880733944955,0.0,0,0,0.0,0,0,0,0.9174311926605505,0,0.0
PM2.5 - combined,[  37.508162 -122.246305],0.003334162000000001,0.0,0.0,0.04,0.0,0,0,0,0.0,0.0,0.15,0.32,0,0,0.0,0,0,0,0.0,0,0.49
PM2.5 - combined,[  40.53999 -121.57646],0.012320218999999995,0.5780346820809249,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  41.711825 -121.509993],0.033591824,0.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  37.641583 -120.994622],0.00245684,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.78,0.0,0,0,0.0,0,0,0,0.19,0,0.03
PM2.5 - combined,[  36.498835 -118.824821],0.00475896,0.6666666666666666,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  36.332179 -119.291228],0.002756927,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.92,0.0,0,0,0.0,0,0,0,0.08,0,0.0
PM2.5 - Local Conditions,[  44.299787 -120.844773],0.006423585,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.09174311926605505,0.0,0,0,0.0,0,0,0,0.908256880733945,0,0.0
PM2.5 - Local Conditions,[  43.58925 -119.04872],0.006862711999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.07407407407407407,0.16666666666666666,0.0,0,0,0.0,0,0,0,0.5370370370370371,0,0.0
PM2.5 - Local Conditions,[  42.31411 -122.87923],0.006808360500000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.97,0,0.0
PM2.5 - Local Conditions,[  42.434139 -123.348466],0.005863934,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08,0,0,0.0,0,0,0,0.92,0,0.0
PM2.5 - Local Conditions,[  42.190296 -121.731369],0.008142373,0.0,0.0,0.0,0.0,0,0,0,0.0,0.035398230088495575,0.07964601769911504,0.0,0,0,0.0,0,0,0,0.8849557522123894,0,0.0
PM2.5 - Local Conditions,[  42.189215 -120.353969],0.006687603,0.0,0.0,0.0,0.0,0,0,0,0.26,0.0,0.18,0.0,0,0,0.02,0,0,0,0.46,0,0.08
PM2.5 - Local Conditions,[  44.067224 -123.141352],0.005800825999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.37,0.0,0,0,0.0,0,0,0,0.56,0,0.07
PM2.5 - Local Conditions,[  44.026312 -123.083737],0.005478437500000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.29,0.1,0.0,0,0,0.0,0,0,0,0.61,0,0.0
PM2.5 - Local Conditions,[  44.046696 -123.017704],0.004706897000000001,0.0,0.0,0.03,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.22,0,0.75
PM2.5 - Local Conditions,[  43.744352 -122.480487],0.005701667,0.5181347150259067,0.0,0.0,0.031088082901554404,0,0,0,0.0,0.0,0.14507772020725387,0.0,0,0,0.0,0,0,0,0.30569948186528495,0,0.0
PM2.5 - Local Conditions,[  43.799501 -123.053487],0.0068008619999999995,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.33,0.0,0,0,0.0,0,0,0,0.67,0,0.0
