Site,commercial,crop_land,forest,industrial,medium_density_residential,open_land,transitional,transportation,urban_public_institution,water,wetland,outdoor_temperature,wind_speed_resultant,solar_radiation
"[(-71.197266400000004, 42.29402374), (-71.192562800000005, 42.29402374), (-71.192562800000005, 42.296606480000001), (-71.197266400000004, 42.296606480000001)]",0.09,0.0,0.12,0.05,0.0,0.0,0.0,0.0,0.73,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.192562800000005, 42.29402374), (-71.187859200000005, 42.29402374), (-71.187859200000005, 42.296606480000001), (-71.192562800000005, 42.296606480000001)]",0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.31,0.08,0.08,23.7761904762,8.49702380952,1.05952380952
"[(-71.187859200000005, 42.29402374), (-71.183155600000006, 42.29402374), (-71.183155600000006, 42.296606480000001), (-71.187859200000005, 42.296606480000001)]",0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.183155600000006, 42.29402374), (-71.178452000000007, 42.29402374), (-71.178452000000007, 42.296606480000001), (-71.183155600000006, 42.296606480000001)]",0.0,0.0,0.02,0.0,0.21,0.0,0.0,0.0,0.05,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.178452000000007, 42.29402374), (-71.173748400000008, 42.29402374), (-71.173748400000008, 42.296606480000001), (-71.178452000000007, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.173748400000008, 42.29402374), (-71.169044800000009, 42.29402374), (-71.169044800000009, 42.296606480000001), (-71.173748400000008, 42.296606480000001)]",0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02,23.7761904762,8.49702380952,1.05952380952
"[(-71.169044800000009, 42.29402374), (-71.16434120000001, 42.29402374), (-71.16434120000001, 42.296606480000001), (-71.169044800000009, 42.296606480000001)]",0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,23.7761904762,8.49702380952,1.05952380952
"[(-71.16434120000001, 42.29402374), (-71.159637599999996, 42.29402374), (-71.159637599999996, 42.296606480000001), (-71.16434120000001, 42.296606480000001)]",0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,23.7761904762,8.49702380952,1.05952380952
"[(-71.159637599999996, 42.29402374), (-71.154933999999997, 42.29402374), (-71.154933999999997, 42.296606480000001), (-71.159637599999996, 42.296606480000001)]",0.29,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,23.7761904762,8.49702380952,1.05952380952
"[(-71.154933999999997, 42.29402374), (-71.150230399999998, 42.29402374), (-71.150230399999998, 42.296606480000001), (-71.154933999999997, 42.296606480000001)]",0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.150230399999998, 42.29402374), (-71.145526799999999, 42.29402374), (-71.145526799999999, 42.296606480000001), (-71.150230399999998, 42.296606480000001)]",0.0,0.0,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.145526799999999, 42.29402374), (-71.1408232, 42.29402374), (-71.1408232, 42.296606480000001), (-71.145526799999999, 42.296606480000001)]",0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.1408232, 42.29402374), (-71.136119600000001, 42.29402374), (-71.136119600000001, 42.296606480000001), (-71.1408232, 42.296606480000001)]",0.05,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.136119600000001, 42.29402374), (-71.131416000000002, 42.29402374), (-71.131416000000002, 42.296606480000001), (-71.136119600000001, 42.296606480000001)]",0.01,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.04,23.7761904762,8.49702380952,1.05952380952
"[(-71.131416000000002, 42.29402374), (-71.126712400000002, 42.29402374), (-71.126712400000002, 42.296606480000001), (-71.131416000000002, 42.296606480000001)]",0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.126712400000002, 42.29402374), (-71.122008800000003, 42.29402374), (-71.122008800000003, 42.296606480000001), (-71.126712400000002, 42.296606480000001)]",0.0,0.0,0.66,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.122008800000003, 42.29402374), (-71.117305200000004, 42.29402374), (-71.117305200000004, 42.296606480000001), (-71.122008800000003, 42.296606480000001)]",0.11,0.0,0.15,0.28,0.01,0.09,0.0,0.12,0.04,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.117305200000004, 42.29402374), (-71.112601600000005, 42.29402374), (-71.112601600000005, 42.296606480000001), (-71.117305200000004, 42.296606480000001)]",0.03,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.17,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.112601600000005, 42.29402374), (-71.107898000000006, 42.29402374), (-71.107898000000006, 42.296606480000001), (-71.112601600000005, 42.296606480000001)]",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.107898000000006, 42.29402374), (-71.103194400000007, 42.29402374), (-71.103194400000007, 42.296606480000001), (-71.107898000000006, 42.296606480000001)]",0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.103194400000007, 42.29402374), (-71.098490800000008, 42.29402374), (-71.098490800000008, 42.296606480000001), (-71.103194400000007, 42.296606480000001)]",0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.098490800000008, 42.29402374), (-71.093787200000008, 42.29402374), (-71.093787200000008, 42.296606480000001), (-71.098490800000008, 42.296606480000001)]",0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.03,23.7761904762,8.49702380952,1.05952380952
"[(-71.093787200000008, 42.29402374), (-71.089083600000009, 42.29402374), (-71.089083600000009, 42.296606480000001), (-71.093787200000008, 42.296606480000001)]",0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.089083600000009, 42.29402374), (-71.08438000000001, 42.29402374), (-71.08438000000001, 42.296606480000001), (-71.089083600000009, 42.296606480000001)]",0.18,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.25,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.08438000000001, 42.29402374), (-71.079676399999997, 42.29402374), (-71.079676399999997, 42.296606480000001), (-71.08438000000001, 42.296606480000001)]",0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.079676399999997, 42.29402374), (-71.074972799999998, 42.29402374), (-71.074972799999998, 42.296606480000001), (-71.079676399999997, 42.296606480000001)]",0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.06,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.074972799999998, 42.29402374), (-71.070269199999998, 42.29402374), (-71.070269199999998, 42.296606480000001), (-71.074972799999998, 42.296606480000001)]",0.24,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.07,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.070269199999998, 42.29402374), (-71.065565599999999, 42.29402374), (-71.065565599999999, 42.296606480000001), (-71.070269199999998, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.065565599999999, 42.29402374), (-71.060862, 42.29402374), (-71.060862, 42.296606480000001), (-71.065565599999999, 42.296606480000001)]",0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.060862, 42.29402374), (-71.056158400000001, 42.29402374), (-71.056158400000001, 42.296606480000001), (-71.060862, 42.296606480000001)]",0.11,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.056158400000001, 42.29402374), (-71.051454800000002, 42.29402374), (-71.051454800000002, 42.296606480000001), (-71.056158400000001, 42.296606480000001)]",0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.051454800000002, 42.29402374), (-71.046751200000003, 42.29402374), (-71.046751200000003, 42.296606480000001), (-71.051454800000002, 42.296606480000001)]",0.4,0.0,0.0,0.0,0.0,0.06,0.0,0.56,0.14,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.046751200000003, 42.29402374), (-71.042047600000004, 42.29402374), (-71.042047600000004, 42.296606480000001), (-71.046751200000003, 42.296606480000001)]",0.09,0.0,0.0,0.0,0.0,0.01,0.0,0.3,0.0,0.29,0.03,22.327976190500003,4.06488095238,1.83333333333
"[(-71.042047600000004, 42.29402374), (-71.037344000000004, 42.29402374), (-71.037344000000004, 42.296606480000001), (-71.042047600000004, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.037344000000004, 42.29402374), (-71.032640400000005, 42.29402374), (-71.032640400000005, 42.296606480000001), (-71.037344000000004, 42.296606480000001)]",0.0,0.0,0.0,0.48,0.0,0.05,0.0,0.0,0.0,0.08,0.04,22.327976190500003,4.06488095238,1.83333333333
"[(-71.032640400000005, 42.29402374), (-71.027936800000006, 42.29402374), (-71.027936800000006, 42.296606480000001), (-71.032640400000005, 42.296606480000001)]",0.0,0.0,0.0,0.38,0.0,0.03,0.0,0.0,0.21,0.01,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.027936800000006, 42.29402374), (-71.023233200000007, 42.29402374), (-71.023233200000007, 42.296606480000001), (-71.027936800000006, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.39,22.327976190500003,4.06488095238,1.83333333333
"[(-71.023233200000007, 42.29402374), (-71.018529600000008, 42.29402374), (-71.018529600000008, 42.296606480000001), (-71.023233200000007, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.6,22.327976190500003,4.06488095238,1.83333333333
"[(-71.018529600000008, 42.29402374), (-71.013826000000009, 42.29402374), (-71.013826000000009, 42.296606480000001), (-71.018529600000008, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.4,22.327976190500003,4.06488095238,1.83333333333
"[(-71.013826000000009, 42.29402374), (-71.00912240000001, 42.29402374), (-71.00912240000001, 42.296606480000001), (-71.013826000000009, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.00912240000001, 42.29402374), (-71.004418799999996, 42.29402374), (-71.004418799999996, 42.296606480000001), (-71.00912240000001, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.004418799999996, 42.29402374), (-70.999715199999997, 42.29402374), (-70.999715199999997, 42.296606480000001), (-71.004418799999996, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.999715199999997, 42.29402374), (-70.995011599999998, 42.29402374), (-70.995011599999998, 42.296606480000001), (-70.999715199999997, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.995011599999998, 42.29402374), (-70.990307999999999, 42.29402374), (-70.990307999999999, 42.296606480000001), (-70.995011599999998, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.990307999999999, 42.29402374), (-70.9856044, 42.29402374), (-70.9856044, 42.296606480000001), (-70.990307999999999, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.9856044, 42.29402374), (-70.980900800000001, 42.29402374), (-70.980900800000001, 42.296606480000001), (-70.9856044, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
