LU,Parameter Name,Site_keys,ppm
{'Residential': 1.0},PM2.5 - combined,[  33.99958 -117.41601],0.003098005
"{'Shrub-brushland rangeland': 0.6134969325153374, 'Deciduous forest land': 0.38650306748466257}",PM2.5 - combined,[  33.463644 -116.971457],5.9559000000000004e-05
{'Residential': 1.0},PM2.5 - combined,[  38.613779 -121.368014],0.028776748000000005
{'Residential': 1.0},PM2.5 - combined,[  38.558228 -121.492981],0.003575299
"{'Residential': 0.76, 'Industrial': 0.1, 'Mixed urban or built-up land': 0.14}",PM2.5 - combined,[  37.348497 -121.894898],4.217e-05
"{'Commercial and Services': 0.57, 'Cropland and pasture': 0.14, 'Transportation, communications and services': 0.28, 'Herbaceous Rangeland': 0.01}",PM2.5 - combined,[  37.329841 -121.815438],0.015272462
"{'Mixed rangeland': 0.7692307692307693, 'Evergreen forest land': 0.23076923076923078}",PM2.5 - combined,[  36.48324 -121.15688],0.00409133
"{'Commercial and Services': 0.08256880733944955, 'Residential': 0.6697247706422018, 'Other urban or built-up land': 0.24770642201834864}",PM2.5 - combined,[  34.10374 -117.62914],0.002242459
"{'Residential': 0.09, 'Industrial': 0.81, 'Orchards, groves, vineyards, nurseries..': 0.1}",PM2.5 - combined,[  34.093979 -117.527254],0.007088574999999999
"{'Shrub-brushland rangeland': 0.6896551724137931, 'Other urban or built-up land': 0.13793103448275862, 'Evergreen forest land': 0.1724137931034483}",PM2.5 - combined,[  34.06957 -116.38893],0.003392568
"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Other urban or built-up land': 0.34, 'Cropland and pasture': 0.02}",PM2.5 - combined,[  34.10688 -117.27411],0.029679504999999995
"{'Shrub-brushland rangeland': 0.92, 'Orchards, groves, vineyards, nurseries..': 0.04, 'Evergreen forest land': 0.04}",PM2.5 - combined,[  34.193925 -116.914063],0.0011600760000000001
"{'Commercial and Services': 0.09, 'Industrial': 0.52, 'Other urban or built-up land': 0.22, 'Transportation, communications and services': 0.17}",PM2.5 - combined,[  32.817978 -116.968133],0.0008537250000000001
"{'Commercial and Services': 0.08256880733944955, 'Residential': 0.9174311926605505}",PM2.5 - combined,[  32.789561 -116.944222],0.004799378
"{'Commercial and Services': 0.15, 'Streams and canals': 0.04, 'Industrial': 0.49, 'Transportation, communications and services': 0.32}",PM2.5 - combined,[  37.508162 -122.246305],0.0033341620000000008
