FID,STOP_ID,STOP_NAME,TOWN,TOWN_ID,SHAPE
GISDATA.MBTABUSSTOPS_PT.4476,2397,Pearl St @ Bradley St,SOMERVILLE,274,POINT (-71.09461733606437 42.387794536730716)
GISDATA.MBTABUSSTOPS_PT.5788,49158,Meadow Glen Mall @ Main Entrance,MEDFORD,176,POINT (-71.09268337086287 42.40708385332879)
GISDATA.MBTABUSSTOPS_PT.1856,1737,Blue Hill Ave @ Talbot Ave,BOSTON,35,POINT (-71.08771761243139 42.295303386399006)
GISDATA.MBTABUSSTOPS_PT.3085,1739,Seaver St @ Maple St,BOSTON,35,POINT (-71.08730957736206 42.306684528276556)
GISDATA.MBTABUSSTOPS_PT.2922,1149,205 Roxbury St,BOSTON,35,POINT (-71.09080354825922 42.33015004957377)
GISDATA.MBTABUSSTOPS_PT.1997,17861,Ruggles Sta - Upper Level,BOSTON,35,POINT (-71.08970645483626 42.33662085488762)
GISDATA.MBTABUSSTOPS_PT.3348,61391,Huntington Ave @ Forsyth Way,BOSTON,35,POINT (-71.0921293046822 42.33916344870935)
GISDATA.MBTABUSSTOPS_PT.3373,41391,Huntington Ave @ Opera Pl,BOSTON,35,POINT (-71.08886821287132 42.340491110556194)
GISDATA.MBTABUSSTOPS_PT.3625,77,Massachusetts Ave @ Marlborough St,BOSTON,35,POINT (-71.08905710289393 42.34997861981949)
GISDATA.MBTABUSSTOPS_PT.3953,2228,Broadway @ Galileo Way,CAMBRIDGE,49,POINT (-71.08894593082002 42.36456978654741)
GISDATA.MBTABUSSTOPS_PT.3974,1421,Cambridge St @ Berkshire St,CAMBRIDGE,49,POINT (-71.08993894522595 42.37231563414399)
GISDATA.MBTABUSSTOPS_PT.3971,1409,Cambridge St @ Berkshire St,CAMBRIDGE,49,POINT (-71.08960880948864 42.372273008531614)
GISDATA.MBTABUSSTOPS_PT.4216,2690,Medford St @ Washington St,SOMERVILLE,274,POINT (-71.08999683561579 42.380339020410865)
GISDATA.MBTABUSSTOPS_PT.4193,2774,Washington St @ McGrath Hwy,SOMERVILLE,274,POINT (-71.08996822197545 42.37987081187839)
GISDATA.MBTABUSSTOPS_PT.4556,2723,Broadway @ Fellsway W,SOMERVILLE,274,POINT (-71.09011080447107 42.390711330729374)
GISDATA.MBTABUSSTOPS_PT.1558,378,Talbot Ave @ Nightingale St,BOSTON,35,POINT (-71.08605100203341 42.29434669788971)
GISDATA.MBTABUSSTOPS_PT.1536,376,Talbot Ave @ Kerwin St,BOSTON,35,POINT (-71.08255602232725 42.29330935018578)
GISDATA.MBTABUSSTOPS_PT.769,416,Blue Hill Ave opp Glenway St,BOSTON,35,POINT (-71.08578023651435 42.30180175932549)
GISDATA.MBTABUSSTOPS_PT.787,415,Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,BOSTON,35,POINT (-71.0853015975437 42.303274384818785)
GISDATA.MBTABUSSTOPS_PT.543,473,Washington St @ Columbia Rd,BOSTON,35,POINT (-71.08036229827492 42.305269532837166)
GISDATA.MBTABUSSTOPS_PT.546,2925,Columbia Rd @ Washington St,BOSTON,35,POINT (-71.08029788377081 42.30544310134406)
GISDATA.MBTABUSSTOPS_PT.3087,413,Blue Hill Ave @ Wayne St,BOSTON,35,POINT (-71.08436835316938 42.306869531886385)
GISDATA.MBTABUSSTOPS_PT.3146,1566,Blue Hill Ave opp Warren St,BOSTON,35,POINT (-71.08251440724564 42.30966070035581)
GISDATA.MBTABUSSTOPS_PT.3431,1338,Walnut Ave @ Rockland St,BOSTON,35,POINT (-71.08492605861608 42.32238089076252)
GISDATA.MBTABUSSTOPS_PT.3461,401,Warren St @ Walnut Ave,BOSTON,35,POINT (-71.08281624402501 42.323927696621745)
GISDATA.MBTABUSSTOPS_PT.3492,40001,Warren St @ Dabney Pl,BOSTON,35,POINT (-71.08334448783894 42.32536144063315)
GISDATA.MBTABUSSTOPS_PT.3546,399,Warren St opp Kearsarge Ave,BOSTON,35,POINT (-71.08325623188934 42.327369513635844)
GISDATA.MBTABUSSTOPS_PT.3252,1147,Dudley St @ Shawmut Ave,BOSTON,35,POINT (-71.0861846624767 42.32902973916758)
GISDATA.MBTABUSSTOPS_PT.2909,64,Dudley Station,BOSTON,35,POINT (-71.08394919259733 42.329708128646985)
GISDATA.MBTABUSSTOPS_PT.3343,1252,Tremont St @ Northampton St,BOSTON,35,POINT (-71.08112275778738 42.338936538969676)
