,Site,Cropland,Golf Course,Saltwater Sandy Beach,cemetary,commercial,crop_land,forest,high_density_residential,industrial,low_density_residential,marina,medium_density_residential,mining,open_land,recreational,transitional,transportation,urban_public/institutional,waste,water,wetland
40,"[(-71.013826000000009, 42.291440999999999), (-71.00912240000001, 42.291440999999999), (-71.00912240000001, 42.29402374), (-71.013826000000009, 42.29402374)]",0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"[(-71.00912240000001, 42.291440999999999), (-71.004418799999996, 42.291440999999999), (-71.004418799999996, 42.29402374), (-71.00912240000001, 42.29402374)]",0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"[(-71.004418799999996, 42.291440999999999), (-70.999715199999997, 42.291440999999999), (-70.999715199999997, 42.29402374), (-71.004418799999996, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"[(-70.999715199999997, 42.291440999999999), (-70.995011599999998, 42.291440999999999), (-70.995011599999998, 42.29402374), (-70.999715199999997, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"[(-70.995011599999998, 42.291440999999999), (-70.990307999999999, 42.291440999999999), (-70.990307999999999, 42.29402374), (-70.995011599999998, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"[(-70.990307999999999, 42.291440999999999), (-70.9856044, 42.291440999999999), (-70.9856044, 42.29402374), (-70.990307999999999, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"[(-70.9856044, 42.291440999999999), (-70.980900800000001, 42.291440999999999), (-70.980900800000001, 42.29402374), (-70.9856044, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"[(-70.980900800000001, 42.291440999999999), (-70.976197200000001, 42.291440999999999), (-70.976197200000001, 42.29402374), (-70.980900800000001, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"[(-70.976197200000001, 42.291440999999999), (-70.971493600000002, 42.291440999999999), (-70.971493600000002, 42.29402374), (-70.976197200000001, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"[(-70.971493600000002, 42.291440999999999), (-70.966790000000003, 42.291440999999999), (-70.966790000000003, 42.29402374), (-70.971493600000002, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"[(-71.201970000000003, 42.29402374), (-71.197266400000004, 42.29402374), (-71.197266400000004, 42.296606480000001), (-71.201970000000003, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.82,0.0,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
51,"[(-71.197266400000004, 42.29402374), (-71.192562800000005, 42.29402374), (-71.192562800000005, 42.296606480000001), (-71.197266400000004, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.09,0.0,0.12,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.73,0.0,0.0,0.0
52,"[(-71.192562800000005, 42.29402374), (-71.187859200000005, 42.29402374), (-71.187859200000005, 42.296606480000001), (-71.192562800000005, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.08,0.08
53,"[(-71.187859200000005, 42.29402374), (-71.183155600000006, 42.29402374), (-71.183155600000006, 42.296606480000001), (-71.187859200000005, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"[(-71.183155600000006, 42.29402374), (-71.178452000000007, 42.29402374), (-71.178452000000007, 42.296606480000001), (-71.183155600000006, 42.296606480000001)]",0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.65,0.0,0.0,0.0,0.21,0.0,0.0,0.06,0.0,0.0,0.05,0.0,0.0,0.0
55,"[(-71.178452000000007, 42.29402374), (-71.173748400000008, 42.29402374), (-71.173748400000008, 42.296606480000001), (-71.178452000000007, 42.296606480000001)]",0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.16,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
