,Routes,Speed at 19-06-17 21,Travel Time at 19-06-17 21,Speed at 19-06-17  22,Travel Time at 19-06-17  22,Speed at 19-06-17  23,Travel Time at 19-06-17  23
200,3118 - R-92 - 3NB-TTR-26.9 to 3145 - G-90 - 3NB-TTS-25.2,Greater than 50 mph,1 min 46 sec,Greater than 50 mph,1 min 46 sec,Greater than 50 mph,1 min 46 sec
201,3106 - R-79 - 3SB-TTR-16 to 3288 - G-89 - 3NB-TTS-19.2,Greater than 50 mph,3 min 2 sec,Greater than 50 mph,3 min 2 sec,Greater than 50 mph,3 min 2 sec
202,3106 - R-79 - 3SB-TTR-16 to 3286 - G-86 - 3SB-TTS-11.9,Greater than 50 mph,3 min 54 sec,Greater than 50 mph,3 min 54 sec,Greater than 50 mph,3 min 54 sec
203,3099 - G-125 - 3SB-TTS-42.4 was 3309 until 10-17 to 3379 - R-118 - 3NB-TTR-42.6,Less than 30 mph,1 min 54 sec,Less than 30 mph,1 min 54 sec,Less than 30 mph,1 min 54 sec
204,3099 - G-125 - 3SB-TTS-42.4 was 3309 until 10-17 to 3179 - R-130 - 3NB-TTR-42.1,Between 30 and 40 mph,1 min 18 sec,Between 30 and 40 mph,1 min 18 sec,Between 30 and 40 mph,1 min 18 sec
205,3095 - R-102 - 3NB-TTR-38.2 to 3327 - G-107 - 3NB-TTS-39.9,Greater than 50 mph,1 min 38 sec,Greater than 50 mph,1 min 38 sec,Greater than 50 mph,1 min 38 sec
206,3095 - R-102 - 3NB-TTR-38.2 to 3267 - G-82 - 3SB-TTS-37.8,Greater than 50 mph,0 min 25 sec,Greater than 50 mph,0 min 25 sec,Greater than 50 mph,0 min 25 sec
207,3080 - R-78 - 3NB-TTR-36.1 to 3283 - G-124 - 3NB-TTS-36.8,Greater than 50 mph,0 min 41 sec,Greater than 50 mph,0 min 41 sec,Greater than 50 mph,0 min 41 sec
208,3080 - R-78 - 3NB-TTR-36.1 to 3251 - G-83 - 3SB-TTS-31.7,Greater than 50 mph,4 min 28 sec,Greater than 50 mph,4 min 28 sec,Greater than 50 mph,4 min 28 sec
209,3047 - G-84 - 3SB-TTS-26.9 to 3251 - G-83 - 3SB-TTS-31.7,Greater than 50 mph,4 min 15 sec,Greater than 50 mph,4 min 15 sec,Greater than 50 mph,4 min 15 sec
210,3046 - G-37 - 93NB-TTS-24.1 to 3367 - G-39 - 93SB-TTS-24.9,Greater than 50 mph,0 min 44 sec,Greater than 50 mph,0 min 44 sec,Greater than 50 mph,0 min 44 sec
211,3046 - G-37 - 93NB-TTS-24.1 to 3192 - R-57 - 93SB-TTR-23.4,Greater than 50 mph,0 min 38 sec,Greater than 50 mph,0 min 38 sec,Greater than 50 mph,0 min 38 sec
212,3040 - G-35 - 93SB-TTS-44.3 to 3233 - R-38 - 93SB-TTR-45.7,Greater than 50 mph,1 min 14 sec,Greater than 50 mph,1 min 14 sec,Greater than 50 mph,1 min 14 sec
213,3040 - G-35 - 93SB-TTS-44.3 to 3014 - R-55 - 93SB-TTR-40.6,Greater than 50 mph,3 min 13 sec,Greater than 50 mph,3 min 13 sec,Greater than 50 mph,3 min 13 sec
214,3038 - R-23 - 90WB-TTR-90.3 to 3360 - R-18 - 90EB-TTR-93.4,Greater than 50 mph,2 min 35 sec,Greater than 50 mph,2 min 35 sec,Greater than 50 mph,2 min 35 sec
215,3038 - R-23 - 90WB-TTR-90.3 to 3291 - G-20 - 90EB-TTS-88.6,Greater than 50 mph,1 min 33 sec,Greater than 50 mph,1 min 33 sec,Greater than 50 mph,1 min 33 sec
216,3016 - G-137 - 90EB-TTS-104.6 to 3310 - G-21 - 90EB-TTS-103.4,Greater than 50 mph,1 min 9 sec,Greater than 50 mph,1 min 9 sec,Greater than 50 mph,1 min 9 sec
